"tid";"accession"
101021;"P09581"
116855;"Q07075"
100223;"Q43014"
109962;"Q9JL18"
250;"P25103"
116807;"Q92947"
105734;"O95180"
116866;"P12829"
116753;"O95251"
10642;"P17787"
17141;"Q9MYX2"
101260;"P47929"
101516;"P00623"
12169;"Q63634"
116888;"Q03391"
12855;"P30419"
12502;"P21447"
101113;"P11169"
105683;"P0AD65"
105432;"P35247"
104247;"Q9QUK6"
105085;"P56817"
101491;"P9WP15"
30005;"O94768"
104099;"Q2V0Y6"
108145;"Q9EPW9"
107892;"P17655"
101418;"O88693"
104456;"Q9JKL1"
103800;"P35414"
30014;"P49760"
20012;"P0C6U8"
103446;"Q8IVW4"
116768;"Q7LBC6"
103503;"Q8I1Y2"
105761;"Q14432"
20164;"Q99P50"
18065;"Q61224"
106001;"Q9HTN9"
105120;"P63138"
18040;"P24735"
100217;"Q07817"
104883;"Q07422"
104770;"P05026"
106198;"E0VQ46"
11925;"P22455"
86;"P21397"
102691;"P11168"
101282;"O15146"
109549;"G4WW85"
104872;"O76074"
101221;"Q8N568"
102824;"P70343"
10677;"P97583"
107889;"P38936"
11229;"P52020"
12067;"P55210"
176;"Q9H244"
12275;"Q28969"
104606;"Q9Z0E8"
109700;"P05091"
104723;"P25100"
116892;"Q96D31"
10036;"P24592"
106602;"O80452"
12622;"O14746"
101042;"Q6GWS8"
116900;"Q6P3E7"
10264;"P21802"
100170;"P01024"
20166;"Q9JI35"
101219;"Q8N474"
100106;"P27987"
116911;"Q2FUW6"
105127;"P9WQ81"
106136;"P33681"
11542;"P08686"
17054;"P12337"
105708;"Q14003"
116903;"P06881"
105236;"Q8IBS5"
106722;"Q8MYA6"
109925;"O55017"
12016;"B2RQC6"
12999;"P36873"
104812;"Q9UBF8"
104701;"Q63273"
109700;"P51649"
10466;"O08786"
109479;"P18669"
105832;"P60630"
103903;"Q6NSN2"
10614;"Q62053"
105832;"P0A472"
12906;"P0AF12"
104744;"P30940"
101481;"P28839"
104410;"Q9SMN0"
104841;"P28223"
105370;"P15999"
104975;"P26684"
101610;"Q9NYY3"
102420;"P34947"
10352;"P21555"
105382;"Q04690"
10666;"P21836"
103538;"O15169"
100844;"P53323"
104109;"P9WQP7"
116698;"O75581"
10474;"O60563"
104663;"Q86VW1"
105734;"Q9UF02"
20123;"P70597"
102596;"A1E3K9"
104303;"P08911"
12895;"Q14416"
109544;"Q9WUT3"
106626;"P93846"
100573;"Q9FXT4"
104707;"Q13370"
106001;"Q9HWC7"
109861;"Q9Z1L0"
12434;"P48760"
102;"P25021"
104843;"Q16790"
154;"Q01718"
101456;"Q9EXV5"
116913;"Q6TUJ4"
12591;"O88766"
10874;"P81425"
103708;"O00167"
17149;"O30412"
105044;"P54619"
106605;"P00166"
104824;"P19491"
103823;"P23395"
106082;"P60434"
102443;"Q9QYJ6"
101192;"A7L861"
10552;"P16389"
102590;"Q5VLE3"
104796;"P18545"
108412;"Q7LG56"
100665;"O97467"
11556;"O08725"
105944;"P9WH55"
108319;"P35991"
104857;"P28646"
116749;"Q9UGL1"
104219;"Q8IU80"
104413;"Q9ZQ91"
20172;"Q9UUZ4"
102858;"Q9JIA7"
106718;"Q41769"
101483;"P29353"
116833;"P25787"
102464;"Q6FTL6"
105007;"P48056"
105079;"Q9UM73"
100939;"P06400"
164;"Q09428"
12657;"O54735"
105442;"Q9UMN6"
10970;"Q14012"
104298;"Q12879"
10439;"P06199"
105708;"Q9NSA2"
102811;"Q9GPG0"
108125;"P54287"
101452;"Q9EQ79"
12485;"P08485"
106717;"Q3V4F7"
105578;"P72524"
109907;"Q9H792"
12164;"Q9XSB5"
116869;"Q6UXS9"
103058;"Q9PPP5"
108400;"P30279"
101402;"Q99N23"
106001;"Q9HWE3"
12023;"Q9H228"
10109;"P56221"
105171;"Q9JHE3"
103741;"Q5A7N4"
100430;"P49019"
105832;"P66393"
110546;"Q04917"
104486;"P54829"
105830;"P0A7T7"
104870;"P23975"
106001;"Q9HWD8"
103056;"Q49PX0"
11619;"P55786"
106075;"Q2G0N9"
108253;"Q15389"
102942;"Q3ZAV1"
12615;"P48058"
30042;"Q9NSY1"
109086;"Q9NFX8"
10535;"P51575"
104851;"P18915"
102944;"Q9R168"
105064;"P19969"
106720;"B8RG26"
10536;"P47824"
102452;"Q9H3R0"
105565;"O77746"
108321;"Q9WTL7"
109872;"Q68V28"
106167;"P02452"
100415;"Q9BZL6"
11401;"P17164"
10605;"O43924"
105830;"P0AG48"
89;"P21817"
109746;"P50750"
101179;"Q86UE8"
105422;"Q63495"
105614;"Q76SF8"
11538;"P43005"
101618;"P04415"
102402;"P50107"
101432;"P56965"
104724;"P31652"
103509;"Q9UNE0"
12662;"P05107"
116867;"P17752"
102854;"Q923I7"
100235;"O13428"
105830;"P0AG44"
247;"P24530"
10526;"P33533"
106726;"O18473"
104306;"P24460"
11360;"P51160"
108330;"O55137"
11218;"O14764"
10876;"P28867"
12909;"Q12908"
105120;"P30191"
103458;"Q52WX2"
106717;"Q5S741"
104905;"P18505"
109864;"Q98UH1"
108333;"P11214"
90;"P21917"
100433;"Q8K5E0"
108397;"Q92793"
105472;"Q8R146"
109700;"P30837"
10283;"P18762"
12724;"P51812"
107594;"Q96D31"
10090;"P0A6K3"
266;"P48443"
12861;"O75173"
109516;"Q9NSI6"
102574;"Q04782"
20051;"P02089"
11090;"P51878"
107963;"P00778"
101002;"Q63470"
11938;"P52209"
10329;"P43115"
12511;"P06766"
109944;"P0A9P4"
100451;"Q9U5N6"
105204;"Q05923"
104777;"Q9NRR2"
17023;"O77240"
10362;"Q62795"
106075;"Q2FZF1"
11418;"P0A6W3"
10378;"P07858"
104649;"P70172"
104843;"P00918"
116855;"Q9NQW7"
104706;"Q14957"
104170;"P49407"
105042;"P63138"
10454;"P19821"
104770;"P05023"
104816;"P05107"
20128;"P90584"
109920;"Q6DWJ6"
104755;"Q9XSB5"
106001;"Q9HWD6"
104591;"P35318"
106615;"P25805"
103465;"P10398"
103152;"O00443"
101015;"Q9Y496"
105015;"Q9EPR9"
208;"Q9UNI1"
104722;"P25095"
116861;"Q9UBL9"
103602;"Q2HY42"
104974;"P97718"
104738;"Q08493"
10469;"P78600"
109936;"P03369"
105424;"Q9JJX6"
11395;"Q13370"
106172;"P0A8T7"
103114;"Q9H4A3"
116900;"Q9Z2V6"
106567;"C5IW59"
105944;"P9WHA9"
116861;"P56373"
100476;"Q92843"
102671;"Q9H9B1"
106560;"C1KUY1"
109510;"Q9BW92"
101227;"Q8NFJ6"
10773;"P25025"
101386;"P53671"
106082;"P66509"
114;"P30542"
12714;"P06685"
102622;"P19652"
104275;"Q96Q15"
104532;"Q8WZA2"
104846;"P25024"
20179;"P07265"
172;"Q16881"
104881;"Q00975"
104177;"Q8VDG7"
18016;"O00555"
104822;"P45984"
104709;"P14635"
100862;"Q969F8"
109866;"Q28309"
108121;"P22626"
106150;"P15260"
105581;"Q99741"
103878;"C4LRQ6"
104706;"Q8TCU5"
106196;"P10211"
101489;"P70677"
104842;"P21728"
104925;"P08912"
109715;"A0A0H4FQ60"
12586;"Q01970"
108020;"P40337"
101001;"Q63415"
157;"Q02127"
17093;"P54707"
109812;"Q9H9S0"
103651;"O55193"
103969;"P11411"
12003;"Q9QXG4"
10775;"Q9Y231"
104732;"P14644"
104701;"P22756"
103958;"O15305"
19914;"P49895"
104480;"P54149"
104751;"P26255"
103631;"Q84AD8"
105761;"O60658"
105241;"Q3B792"
106577;"G2YM83"
12856;"Q02734"
105761;"O76074"
109835;"Q1W675"
109971;"P15682"
105624;"Q9Y2C3"
30047;"Q9UKE5"
12786;"P30872"
104301;"Q91ZM7"
100678;"O34667"
103881;"Q08I33"
12311;"Q91WG0"
11453;"P12955"
105462;"Q5VST6"
104766;"Q9BUF5"
103547;"P46587"
103691;"P84022"
10918;"Q08881"
101091;"Q3UP87"
106733;"E5L6Y0"
108125;"P27732"
109449;"P31153"
104286;"P12390"
105639;"Q9NY46"
100334;"P32241"
12920;"P35610"
20112;"P50130"
10185;"P55263"
104366;"P51658"
104666;"P01111"
104210;"P61278"
102634;"P84085"
105686;"Q54618"
108130;"P40189"
12160;"Q9MYM4"
105564;"A4IFJ5"
114862;"P29279"
11600;"P50578"
20080;"P15555"
103642;"P29029"
109847;"P01019"
100193;"Q99685"
106082;"P66176"
105086;"P16092"
104833;"P25101"
105042;"P20236"
102867;"A0QNE0"
105712;"Q14721"
104705;"P35364"
108439;"O43614"
101434;"P57078"
12942;"O60256"
107647;"Q53H12"
106082;"P68901"
116855;"O43895"
140;"P43088"
104733;"P48039"
17139;"Q9BDP5"
103827;"Q9Y745"
221;"P47870"
105043;"Q05030"
10782;"O75676"
10674;"Q9Y5Z0"
12717;"P12392"
104857;"P30937"
101062;"Q9Z122"
104960;"P08514"
12652;"Q9UNK4"
11692;"P00736"
100779;"P56218"
104115;"P07355"
104301;"P15431"
103079;"P55072"
105066;"P48026"
116826;"P45973"
102935;"P56718"
104586;"P25705"
105106;"P31749"
104763;"Q04400"
100834;"Q16644"
104301;"P23574"
12668;"Q71U36"
10493;"Q9UBX1"
104729;"P29274"
11696;"P19835"
102796;"P54855"
12692;"P19754"
100033;"P03438"
109903;"Q6P5Z2"
100847;"P39688"
103981;"P47154"
104628;"Q5T3U5"
11202;"Q61263"
104988;"O75899"
104875;"Q13555"
105232;"F6VR90"
104554;"P05455"
105006;"P00734"
105121;"P28472"
105832;"P66445"
116833;"P25786"
107890;"O15169"
10774;"P06804"
105074;"P08413"
218;"P18825"
104382;"P0A0K8"
104695;"O08537"
106001;"Q9HUN0"
105217;"Q6ZMT4"
105832;"Q8CWU5"
10797;"Q13324"
105736;"Q99500"
104466;"P30083"
100849;"P70032"
106586;"J3SE37"
106082;"P66157"
105096;"P00734"
12005;"Q9NR82"
102396;"O42778"
104436;"P9WH09"
104401;"P03437"
104402;"Q6P1E0"
105738;"P29323"
104705;"P30940"
106722;"Q8I1M8"
105830;"P0A7S9"
106709;"I6LNT8"
108384;"P30124"
103164;"P35384"
104283;"P43681"
102990;"P52270"
13000;"P03956"
100931;"Q9UBE8"
109645;"P07949"
105734;"Q00975"
105738;"P29320"
116808;"Q9UFN0"
101392;"P55085"
28;"P04818"
17040;"P02751"
100120;"P15393"
18078;"Q9UI33"
100244;"P06026"
102891;"Q6VVP7"
104635;"Q9Z306"
105044;"Q9Y478"
30017;"P51955"
104904;"Q16445"
103906;"P37340"
109432;"O08878"
103998;"Q4Q090"
12507;"P30557"
108299;"P27117"
100457;"Q8ST54"
103987;"P63279"
11422;"P52789"
106198;"E0VUR0"
105944;"P9WHE7"
106658;"Q9NJH6"
100631;"P22141"
105761;"O95263"
105116;"P05107"
105772;"P48374"
102453;"P9WHV7"
109802;"P04437"
12407;"Q60748"
102896;"P50250"
12759;"P0DMN7"
100614;"P48825"
101100;"P9WQ51"
11006;"P33032"
100068;"Q9Y6K9"
106197;"Q9UNM6"
104271;"Q15131"
108019;"Q4E657"
105000;"Q9WUI1"
101213;"P14920"
105096;"P00742"
109738;"Q07869"
107902;"Q96D31"
10932;"P98105"
106082;"P68900"
102946;"P60881"
12131;"P08424"
102848;"P29758"
106197;"P28074"
12802;"P05364"
12411;"O08914"
104662;"Q8IVM8"
17078;"P34948"
109520;"Q05097"
106001;"Q9I5V8"
106660;"Q9WKE8"
108405;"P29597"
109980;"Q13133"
104691;"P08172"
105489;"Q8R0V5"
11087;"O35627"
101193;"A8DS27"
102467;"P14677"
100416;"P54753"
108262;"Q9WYW0"
11307;"Q9UBN7"
106164;"ENSG00000084674"
11416;"P09211"
10227;"Q9UBS5"
103842;"Q39830"
100918;"Q09013"
105674;"P40261"
116707;"P10630"
12850;"O00483"
116899;"Q8NEV1"
105832;"Q8CWR8"
104603;"O70577"
106001;"Q9HWC5"
114846;"P17813"
11806;"Q60612"
100330;"Q93RY0"
105764;"P13631"
10456;"Q27713"
105388;"Q923X8"
105733;"Q53707"
101557;"Q9HBY8"
104824;"Q00959"
104895;"P32297"
105832;"P66321"
10121;"P35030"
11861;"P23818"
13054;"P09417"
104878;"Q08828"
23;"P03952"
100073;"P54645"
103138;"Q8T8E7"
104904;"P14867"
11094;"P49430"
101240;"O14638"
11398;"P08183"
107626;"P46510"
105707;"O43497"
12712;"P35365"
105761;"Q07343"
105034;"P35400"
100004;"Q29495"
108399;"P11802"
10436;"P00784"
103636;"Q9NP78"
109758;"Q15758"
103711;"O75496"
103850;"Q9I7A8"
109854;"P56950"
104772;"P49841"
12019;"P09483"
19688;"P11880"
105033;"O08786"
106590;"K4JQ36"
104901;"Q9JJ74"
105677;"P21583"
104823;"P40394"
20044;"P00599"
109740;"P04049"
103533;"C7DTR7"
10839;"P11309"
105409;"P42123"
108339;"Q9EP89"
104868;"P00734"
104688;"Q8N1C3"
30038;"Q9HC98"
11617;"P24723"
105830;"P0ADZ4"
104807;"P14416"
12545;"Q62968"
10032;"Q92934"
100856;"Q9UHD2"
116869;"Q92851"
11279;"Q13255"
105637;"P57789"
116866;"P12883"
106167;"P02462"
109596;"P25085"
106197;"P48556"
105137;"P80244"
11870;"Q16584"
107918;"P23458"
101353;"Q96LB1"
104304;"P15823"
116715;"P50389"
103584;"P13501"
100290;"P48546"
12737;"P16455"
103766;"Q7WZI7"
160;"Q03431"
109460;"P03428"
109773;"O31272"
103456;"Q6ZN16"
106166;"Q9Y6N6"
106559;"C0L093"
17080;"P34976"
12261;"P45983"
106197;"P20618"
106562;"C1KUY3"
104859;"P16586"
104742;"P35355"
10542;"Q15722"
100456;"Q965D5"
11989;"Q13443"
100341;"P31650"
102687;"O95838"
11682;"P48067"
104752;"P18508"
104855;"P02712"
105064;"P18508"
106001;"Q9HWF8"
109699;"P0DMM9"
11997;"P14410"
109513;"Q9H2J7"
106201;"F1L4P8"
18038;"P15474"
104926;"P20309"
105045;"P23975"
109840;"P17443"
116703;"O43865"
104;"P27338"
102565;"Q0V8R6"
116684;"Q9WTK7"
104274;"P48426"
101494;"P78352"
12874;"Q80ZG2"
103920;"P70269"
12476;"P31424"
100431;"O14842"
105558;"P21687"
18006;"P17597"
277;"P28702"
12266;"O02811"
104425;"Q99542"
106198;"E0VJJ0"
101104;"P10591"
103618;"Q62773"
102645;"Q02318"
102472;"P11974"
101106;"P10686"
104727;"P11388"
105672;"O60675"
106198;"E0W4F7"
101502;"Q9GZT9"
10055;"Q9BZX2"
10323;"Q96IY4"
106198;"E0VV39"
103624;"Q9Y468"
104838;"P18506"
105709;"P02708"
105832;"P0A484"
106711;"P06450"
104923;"P47746"
101312;"Q92918"
104837;"Q99250"
18079;"Q9UQD0"
101033;"Q15835"
104619;"Q9ES07"
106181;"P07237"
30008;"P29317"
103527;"Q03530"
105546;"Q96242"
106556;"B5U2Z5"
10799;"P51178"
104142;"Q2M3G0"
104925;"P11229"
116759;"Q96RD7"
104551;"Q9R1W5"
104196;"O14744"
109956;"P0A752"
101217;"P43057"
12983;"P53778"
10895;"O60503"
14043;"Q77YF8"
105830;"P0AG59"
101005;"Q64346"
105646;"Q13444"
106176;"A0A1I7W5Q0"
101128;"Q582G3"
104741;"P35372"
104082;"O00204"
104730;"Q00653"
106166;"Q13751"
101478;"P28272"
107941;"Q9H2K2"
108343;"Q5XJY4"
12951;"P47743"
130;"P35462"
103623;"Q7CGS5"
105226;"P07203"
106082;"Q9A1V5"
101258;"P47775"
105645;"Q5GIT4"
19704;"Q25270"
101115;"Q42656"
105708;"Q9H3M0"
114987;"P43628"
11546;"O00754"
11712;"P70313"
104858;"Q16881"
101250;"P17301"
104936;"P06756"
105944;"P9WHA3"
107919;"Q00987"
10560;"P08104"
104071;"Q16873"
106082;"P66599"
116833;"P25789"
102732;"P22307"
102469;"B8Q4Z9"
105048;"Q02153"
105580;"Q4QE15"
11037;"P29475"
104233;"E2QDN0"
19900;"P20395"
109810;"Q61586"
10881;"O88554"
105708;"Q8TAE7"
116814;"G3V783"
10903;"Q15139"
104588;"P60709"
116897;"Q13748"
107886;"P04760"
108345;"Q8K1N1"
101525;"P01256"
106172;"P0A7Z4"
14070;"P24433"
11781;"P22935"
107887;"P17787"
10235;"P52564"
103733;"Q9FD53"
107886;"P09690"
114893;"P15248"
10368;"P48730"
104705;"P31388"
101317;"Q96L34"
106075;"Q2FW06"
106002;"E0VB20"
12186;"P29122"
103170;"Q9Y2T6"
101133;"Q7TQP3"
116833;"P28070"
112;"P30518"
104541;"P43404"
103959;"O40947"
40;"P07202"
12504;"P20444"
104700;"P13945"
103430;"O75460"
108270;"Q9Y2K6"
106150;"P38484"
13081;"P18440"
104282;"Q07001"
106168;"P0AC13"
104882;"P19327"
107883;"P54646"
103661;"P10520"
105572;"Q9TU15"
106197;"P49721"
109942;"P01042"
102621;"P21589"
107614;"Q13332"
101070;"P0A031"
10003;"P07339"
51;"P08908"
105028;"P16497"
109875;"P18146"
11505;"P54577"
100829;"P0CS13"
106082;"P0C0D6"
12948;"P18886"
10951;"Q01102"
100148;"O70174"
106151;"P20701"
10703;"Q9H4A4"
101268;"Q8TCW9"
104824;"Q9R1M7"
100313;"O15826"
10029;"P04114"
106166;"O15230"
109718;"B7UJP3"
116687;"P55086"
104775;"P68400"
105587;"P70424"
106198;"E0VSD4"
17113;"Q28037"
101054;"Q9Y5X9"
10965;"P04177"
109549;"A0A0D9MXW1"
102637;"Q9HD36"
100101;"Q9P0X4"
104781;"Q04631"
104787;"P35368"
109950;"G3I1B6"
104921;"P47870"
103732;"Q03164"
104567;"Q869C3"
10250;"Q15746"
12589;"Q14940"
109952;"Q6TGC4"
106198;"E0VMV6"
104871;"P49354"
105092;"P32245"
11154;"P50281"
109594;"Q62205"
104846;"P25025"
108301;"P10950"
102415;"Q6L5J4"
104639;"Q9JHI3"
19640;"P05555"
102718;"Q14703"
104984;"P08908"
100031;"O75899"
104220;"O15393"
104849;"Q8K2I1"
105024;"P29275"
116665;"P22449"
100264;"P05630"
108141;"Q15825"
109497;"P38433"
104361;"Q1LK00"
104787;"P18825"
101277;"O14684"
102460;"Q9R0W9"
108413;"Q9Y2C9"
10123;"P41440"
100616;"P48163"
106167;"P25940"
12710;"Q9NWM8"
102927;"P97639"
20064;"P9WPX7"
105458;"Q4J6C6"
20084;"P18266"
104301;"P63079"
103166;"P97570"
12251;"P97535"
105109;"P21708"
101558;"Q9HUY3"
105644;"Q9NRS4"
102924;"Q62689"
18000;"Q28997"
105658;"Q9WVR3"
12888;"P15822"
104737;"O60706"
102837;"Q80W54"
105451;"P01116"
103949;"P49764"
100944;"P06881"
103544;"P0A3M5"
105076;"Q05901"
105708;"Q96KK3"
105525;"Q38860"
104981;"Q13464"
106169;"P0ABQ4"
10551;"P42337"
116899;"P19784"
10620;"P35363"
103891;"P9WKK7"
104398;"P06821"
109820;"Q9H0E9"
102639;"P38398"
107996;"Q9TRC7"
101579;"P03380"
104873;"P12657"
106198;"E0VV72"
109669;"O61059"
102702;"Q9UKX5"
105639;"P35498"
20059;"P06762"
109889;"P61793"
101254;"P43354"
104842;"P21918"
109738;"P37231"
116803;"P51141"
107924;"Q14145"
107987;"P26040"
108313;"P15498"
107971;"G3HZR5"
10825;"P09810"
11915;"P30204"
12683;"Q15118"
103133;"P24063"
102965;"P03070"
105654;"P43657"
106711;"P05435"
104705;"P08909"
105357;"O88761"
105405;"P45953"
104808;"P30279"
104810;"P23818"
104736;"P41143"
103526;"Q96QT4"
11231;"P48449"
103627;"Q05BQ5"
105220;"Q15950"
108409;"P61244"
105112;"P05979"
109924;"O09158"
102682;"P12318"
108126;"P54290"
19601;"Q9XDB3"
104668;"Q93T40"
107899;"P51948"
100218;"P96618"
101067;"P0A9J6"
11330;"P54136"
101060;"Q9Z0J5"
101377;"P22281"
116769;"P63146"
107941;"O95271"
108238;"P05804"
104799;"P17948"
105770;"P31213"
100447;"Q8IXJ6"
104571;"P29562"
11402;"P09958"
100655;"P06278"
104787;"P35348"
11172;"P78417"
104705;"P35365"
101049;"Q6PIU2"
116894;"Q16877"
102664;"P28562"
259;"P34972"
11084;"P48039"
105585;"Q9UPY3"
104248;"Q9NZ45"
107978;"A6QR73"
101395;"P55899"
12409;"P00375"
103856;"E2R517"
103433;"O95747"
10537;"Q9UBL9"
102693;"P22732"
18071;"Q96RI0"
106145;"P9WPV5"
116855;"Q6Q4G3"
11737;"P11980"
109556;"P22771"
108117;"Q9BQA1"
68;"P12268"
100986;"P0DMV8"
104609;"Q9H015"
106001;"Q9HZN4"
10056;"P78527"
101116;"Q43760"
103134;"P14618"
103137;"P44514"
101439;"P60953"
105708;"Q09470"
104974;"P97717"
109492;"P0A6G7"
104879;"P05696"
10256;"P97521"
109700;"P30038"
105203;"Q9BXW9"
12946;"P11802"
100114;"P17658"
20045;"P00602"
104921;"P47869"
105227;"Q9NRG4"
104834;"P29274"
10664;"P19801"
104738;"Q13370"
10877;"P09215"
104641;"Q9EP96"
30018;"P53667"
11114;"P42261"
103710;"O15118"
100067;"Q01693"
11713;"Q6VNS1"
105944;"P9WH97"
106075;"Q2FXZ7"
107939;"Q9Y6Y9"
105699;"O40239"
105734;"O60359"
104062;"Q9NPD5"
104693;"P23944"
11176;"Q14123"
107909;"Q9UQL6"
102459;"Q16798"
104835;"P35439"
17137;"Q95KW7"
11262;"P30935"
104939;"P10721"
108269;"P33469"
11821;"Q08828"
104187;"P43316"
106196;"P06480"
102711;"Q9Y2U5"
100663;"P00883"
101319;"O35078"
100798;"P27435"
20106;"P43711"
103541;"P05193"
101552;"Q00532"
100955;"Q5MY95"
105765;"P19793"
102747;"Q8TCT1"
13;"P62593"
101504;"Q9H0K1"
105530;"P93836"
104404;"A9X4R8"
105944;"P9WH59"
10851;"O95363"
20022;"O15770"
104547;"Q06609"
104468;"P20393"
103888;"Q3Y6Q3"
101470;"P00371"
10033;"P00807"
105181;"Q8C131"
109668;"Q9UQB9"
108052;"P08191"
116702;"P35747"
106001;"Q9HVY3"
101604;"Q9NWT6"
101344;"P51659"
20114;"P56526"
105041;"P19020"
104787;"P25100"
109502;"Q8K4Z6"
104622;"Q8VI47"
109702;"Q16696"
100909;"P37023"
109916;"P04040"
100140;"P27448"
101271;"Q8TDV5"
109704;"Q9HA47"
11343;"Q8HZR1"
11463;"Q16445"
20065;"P0A6L2"
105540;"Q9SMJ3"
107908;"P20831"
102840;"Q9QVP9"
100481;"P42330"
107992;"Q8R4D5"
109647;"Q8N4C8"
106142;"P01031"
10950;"Q99500"
11115;"P28570"
101493;"P78325"
116818;"ENSG00000198947"
10889;"Q01717"
105611;"A0AVT1"
105140;"Q14191"
101599;"Q04796"
104787;"P18089"
10745;"P04176"
13018;"Q8DNV6"
11872;"P34949"
11018;"Q13237"
105830;"P0A7L3"
104953;"P30989"
12347;"P15150"
12573;"Q76KC6"
104462;"O89017"
116855;"Q9NQH7"
10275;"P49654"
11627;"P23141"
105734;"Q13698"
105036;"P20594"
101204;"O00238"
100446;"Q9NTG7"
104709;"P06493"
216;"P18089"
106001;"Q9I0A2"
106571;"D1KEB8"
116898;"Q3ZCM7"
35;"P06213"
12822;"P53790"
104510;"P9WI75"
105088;"P29703"
104610;"Q96QA9"
107933;"P33535"
108385;"P0ACB2"
104217;"Q29473"
104578;"Q7TMA4"
109761;"Q9UPC5"
116696;"B2V8E3"
104969;"P01008"
109888;"P07498"
102605;"P38489"
11169;"P21729"
12748;"P50554"
17131;"Q8BVW0"
101205;"O00254"
17085;"P43367"
105762;"O60658"
106642;"Q63010"
12268;"Q9UHL4"
11368;"P0CG29"
10589;"P20961"
105708;"P22001"
10608;"O00763"
105944;""
100806;"Q4DI50"
100642;"P15038"
104645;"O60669"
105446;"Q92800"
104820;"Q16654"
105051;"Q05769"
106001;"Q9HWE5"
11946;"P04904"
102798;"P45880"
104789;"P27338"
105467;"Q9UMR5"
102428;"Q2HPH0"
102589;"Q01583"
104681;"Q9UBN7"
105055;"P27986"
103146;"O53585"
10273;"P29089"
115648;"Q9NR63"
108147;"Q9UJW3"
109679;"Q95KY9"
11005;"P70596"
109689;"Q52KJ8"
104693;"P19328"
10174;"P31408"
107933;"P35370"
11970;"P22612"
104923;"P47936"
102680;"O60427"
11067;"P00789"
104629;"Q9ERB5"
104679;"Q08493"
12585;"Q92876"
17140;"Q9BEG3"
104938;"O08858"
105761;"O00408"
109539;"P62753"
106137;"Q9Y275"
19639;"Q9NWZ3"
10619;"P30940"
11758;"P43220"
184;"Q04609"
242;"P15121"
104659;"Q66HS9"
10022;"P32304"
11261;"P32745"
100129;"P54760"
101016;"Q9Y4D2"
104681;"Q8WUI4"
109946;"Q2FZQ3"
11212;"P39656"
12688;"P30994"
105509;"P15382"
108139;"Q16611"
104307;"P24463"
104143;"P9WMC1"
20118;"P67871"
100827;"O00482"
103700;"Q9HC97"
102429;"Q8CG09"
108002;"Q9UIF9"
10652;"P97717"
102977;"P22629"
10102;"P20292"
108118;"O60341"
109493;"P17325"
109791;"Q30167"
104182;"P62745"
107967;"Q9ESU6"
11606;"P09955"
103566;"Q8GDC1"
103501;"Q6UCJ9"
103084;"Q8T8E6"
105551;"H9TVJ1"
108032;"O94788"
11749;"P49582"
108404;"P29597"
105095;"Q13370"
101474;"P27467"
105761;"P51160"
104657;"Q91WU2"
104770;"P14415"
105944;"P9WHA1"
105760;"O14561"
116869;"P29466"
106075;"Q2FW39"
107640;"Q9Y210"
107662;"Q63645"
101533;"P30555"
12632;"Q9BZM2"
32;"P05108"
107940;"Q9QUK6"
12396;"P53634"
104764;"P00915"
116819;"ENSG00000205571"
101361;"Q96RJ0"
104671;"Q86TP1"
103439;"P35570"
106204;"A8K7I4"
101329;"O46635"
19606;"O87171"
11711;"Q61391"
103917;"Q96W81"
106610;"P13470"
249;"P25101"
213;"P06479"
101616;"P04292"
116820;"O15727"
11185;"P43155"
103897;"P00727"
108117;"O14744"
10999;"P00689"
10200;"P14174"
104208;"P13159"
100282;"P04271"
103621;"Q9URB4"
106641;"A0A0D1C8X8"
116899;"P67870"
11220;"Q99259"
11191;"P48169"
105734;"Q8IZS8"
103634;"Q7M3D2"
105447;"O75530"
11126;"Q16549"
20085;"P20813"
105632;"Q9H7B4"
104942;"P00533"
105744;"P04626"
116917;"Q96SW2"
10360;"Q91ZY1"
109746;"P11802"
10567;"P05164"
116833;"P28072"
103859;"P23780"
106713;"P30810"
101378;"P22314"
104697;"Q15759"
103585;"Q9BJJ9"
12840;"P07333"
100432;"P51684"
105534;"P07140"
107620;"P51790"
104764;"P23280"
116752;"Q92794"
104012;"Q9HBY0"
11896;"P05480"
105237;"Q25856"
101242;"P15304"
105733;"Q9XDB3"
105734;"Q9UBN1"
107606;"Q9ES90"
110001;"Q9UHF0"
105667;"Q8BX10"
101614;"P04180"
109570;"Q5TU56"
109881;"Q9UIV1"
102826;"P55097"
100463;"P0CP75"
104813;"Q04759"
10138;"Q13093"
11874;"Q00653"
116888;"Q01097"
104772;"P49840"
105043;"P20786"
244;"P16066"
104008;"Q9BHT9"
12808;"P23109"
104969;"P00742"
101360;"Q96Q40"
101096;"Q6T3U3"
11186;"P33260"
10805;"P08138"
10819;"P02708"
12447;"Q76MZ3"
104979;"Q9Y2D0"
105518;"P0A8F0"
11288;"P00748"
102883;"P46406"
11174;"Q9Y2T3"
104937;"Q9ULK4"
101073;"P0C264"
101264;"Q8RT60"
105830;"P62399"
10292;"P50637"
27;"P04293"
104913;"P14100"
116738;"Q8CJ44"
101559;"Q9JKS8"
105944;"P9WH27"
101352;"P53051"
10647;"P08482"
105023;"Q9Y6K9"
102887;"P15196"
104824;"Q00960"
104756;"P08104"
101468;"P00167"
109700;"P47895"
105520;"P54904"
109850;"Q9ERT1"
106082;"P66424"
10290;"E9PZQ0"
104918;"Q9NP56"
103070;"O76021"
103048;"O75884"
104766;"Q13509"
