"tid";"accession"
109623;"P51538"
101097;"Q6W5P4"
12519;"P51673"
105440;"Q15910"
109746;"Q15131"
100264;"P05632"
100860;"P51683"
11446;"P48065"
105346;"P00746"
107642;"A5Z1V5"
105944;"P9WHE5"
105830;"P0A7V8"
104529;"P51557"
102885;"Q28705"
104599;"Q7TQN9"
109943;"O00400"
103432;"Q9QZQ4"
11584;"Q05754"
103047;"Q16760"
104680;"P22086"
105671;"P35462"
11117;"P28572"
109582;"Q14694"
112369;"P27348"
102842;"Q9R1K6"
103072;"O54968"
104487;"O00487"
106198;"E0VSD5"
104444;"O55234"
12214;"P43403"
61;"P11229"
105769;"P06241"
116721;"Q9GU47"
105830;"P0A7J3"
11303;"P11586"
105683;"P08506"
10613;"P35375"
101300;"P49336"
20003;"Q9BDQ5"
103960;"O60240"
103692;"Q03137"
46;"P0AD65"
103857;"Q1A7N1"
102694;"P62805"
11044;"P51512"
116893;"P84903"
104885;"P66936"
105508;"P32297"
102920;"P70600"
12181;"Q90YJ9"
10117;"P49889"
105832;"P0A476"
108128;"P32297"
108398;"P51681"
11111;"O62698"
107611;"P03313"
104905;"P47870"
105099;"P06795"
109737;"Q9P1W9"
102447;"P43250"
105021;"P23576"
106132;"P29459"
106167;"A8TX70"
109897;"Q9BSJ8"
104630;"Q99N02"
104702;"P18507"
12363;"Q5EGZ1"
105188;"Q6PL18"
116860;"Q9NXG6"
101354;"Q96LB2"
104756;"P04775"
104855;"P02714"
104911;"P50613"
20049;"P02067"
10314;"Q9UDW1"
19904;"Q16602"
104301;"P30191"
100774;"Q8T6J6"
155;"Q01959"
10582;"P47712"
101524;"P01133"
106711;"P69447"
104178;"P0AE70"
106711;"P00833"
104840;"P31649"
11299;"P58406"
19657;"Q53729"
103697;"Q8VNN2"
100623;"P28827"
101265;"Q8RTE5"
106075;"Q2FW07"
109700;"P43353"
104746;"P37231"
106145;"P9WPU7"
103966;"P08679"
102558;"P32397"
103136;"P21575"
108327;"Q8CGK3"
100205;"P50997"
104814;"P29475"
11624;"P29466"
109495;"A0SYQ0"
104302;"Q8VHN2"
105002;"P37136"
104119;"Q5DUB1"
106588;"K2RV19"
103486;"P17442"
116792;"Q61241"
103704;"B9W6M3"
106145;"P9WPV7"
105007;"P23978"
102698;"O60760"
10052;"P79483"
12725;"Q9Y5Y6"
100638;"P16098"
12669;"P68370"
12467;"Q08460"
10960;"P35396"
10201;"Q13126"
12684;"Q15120"
104739;"P49288"
103094;"P07846"
12362;"Q99P97"
101540;"P31482"
105760;"O75251"
19905;"Q99705"
100278;"P24226"
109560;"Q9NP59"
103945;"D5HSX5"
12167;"Q05941"
101029;"Q15466"
105832;"P61183"
114839;"Q13421"
12427;"Q6P6R0"
14065;"Q59487"
10183;"P31391"
10298;"O55242"
104688;"P34903"
10928;"P49684"
79;"P18405"
105670;"P08588"
104738;"Q08499"
102806;"Q9BDS8"
12661;"P06756"
105197;"Q96K76"
107878;"Q9UGI9"
108024;"Q96Q83"
109767;"Q62962"
104999;"P08684"
100063;"Q95PM0"
103853;"P83410"
104725;"P35354"
106708;"D0VWV4"
12787;"P19785"
105238;"P80035"
104672;"P83512"
104266;"Q15059"
104868;"P07478"
104764;"P22748"
116904;"G3H8F4"
105456;"Q9NP80"
10311;"Q62658"
106082;"Q9A1W5"
105761;"Q9Y233"
104799;"P35968"
105029;"O95264"
104977;"Q00534"
104902;"P39086"
109463;"Q9BPV8"
11160;"P51452"
106205;"P02671"
102753;"P10619"
103660;"O75604"
10588;"P05121"
11085;"P49286"
12742;"P23944"
109580;"Q99466"
103999;"Q61009"
105610;"O95352"
10163;"P10632"
116732;"P04631"
104766;"Q6PEY2"
10445;"P28593"
104392;"Q96PH1"
104684;"P61169"
101560;"Q9JMD7"
108357;"Q8KXD2"
107668;"P58308"
105765;"P28702"
30013;"P49759"
105639;"Q9UI33"
107986;"P27596"
113447;"Q99MK8"
103930;"Q15878"
105830;"P61175"
11473;"P78536"
102439;"O60341"
103982;"P51449"
107615;"P26045"
105604;"O95069"
101086;"Q28263"
104435;"O15297"
102908;"Q9HWR2"
100100;"O43497"
11582;"Q9ULA0"
104807;"P21917"
101333;"P19525"
12017;"Q9ERC0"
101090;"Q3BCU0"
10330;"Q13085"
101508;"Q9H3Y6"
109640;"P10276"
20137;"Q13315"
107935;"A4QPH2"
10920;"P52332"
104272;"Q14004"
100970;"Q9ULW0"
106197;"P62191"
17089;"P49743"
101007;"Q9WMX2"
108278;"Q5RJQ4"
100163;"Q63016"
10600;"P14646"
10271;"Q8VDP6"
245;"P16444"
104149;"O77344"
100045;"Q53725"
106198;"E0VDR0"
100487;"P02340"
100108;"Q8IV61"
116902;"Q6PFX9"
102412;"Q9AQH7"
102955;"P11412"
103839;"Q5FB27"
108403;"Q05397"
103865;"Q09GQ4"
11238;"Q14642"
101582;"P31750"
100246;"P07267"
106001;"Q9HXP9"
76;"P15538"
104687;"P19492"
108120;"P09690"
108287;"P07824"
116712;"P00551"
104302;"P35439"
105708;"Q9H252"
118;"P30968"
106183;"Q03282"
109729;"C3SLB7"
103119;"P0AEJ2"
11295;"P30546"
110032;"Q6AYT7"
11061;"O43193"
105760;"P56556"
11354;"P26640"
101216;"P42858"
11836;"P16277"
103979;"P41948"
100981;"P07148"
13055;"P15559"
100934;"Q9UGP5"
104805;"P06276"
104829;"O62698"
102561;"Q2KJ64"
105177;"P35560"
106198;"E0VCW8"
107663;"P0A070"
206;"Q14626"
102424;"P03471"
109593;"Q62463"
105760;"O75489"
109818;"Q96T53"
104844;"O43741"
12518;"P22756"
109533;"Q19564"
10347;"O08858"
17048;"P0A9A6"
102819;"O08663"
104838;"P62813"
103135;"P06608"
100314;"P0A9C5"
105760;"O95298"
116728;"Q29571"
105501;"O35904"
10131;"P42574"
104816;"P05362"
105734;"Q7Z3S7"
106579;"G3FIN0"
107923;"Q3UWM4"
101421;"O94760"
105021;"P18508"
105608;"Q9R117"
108292;"Q2TA32"
100027;"P52702"
116709;"Q9XSJ7"
106075;"Q2FXK6"
12735;"P15735"
104493;"Q16198"
101458;"Q9FUJ3"
104297;"Q05586"
108355;"P24171"
12896;"P22748"
104944;"P08482"
100831;"Q2HXR2"
11511;"P00387"
12677;"P15514"
101327;"O43561"
101236;"O08703"
10023;"P12389"
104964;"P43140"
109778;"Q8WXI7"
104302;"Q00960"
105358;"Q8VBX6"
10139;"P07451"
106612;"P18063"
108034;"P54292"
102820;"P84078"
116833;"P28065"
100210;"Q01094"
102397;"Q5SC61"
105538;"P9WNV1"
106198;"E0VQ47"
109743;"O75084"
102631;"O60218"
104710;"P20248"
101515;"P00593"
104844;"Q9UGI9"
104685;"P08514"
105708;"Q96PR1"
106082;"P66526"
12978;"P20456"
12754;"P24822"
104743;"P08913"
105119;"Q28204"
108128;"P30532"
101247;"P16220"
104303;"P10980"
12867;"Q02853"
11423;"P26439"
11328;"P09601"
105559;"P25462"
109456;"Q99884"
104301;"O09028"
12118;"Q9ET01"
105508;"P30532"
106167;"Q2UY09"
10684;"P09871"
105189;"Q9BXA5"
103877;"Q2LFS1"
10880;"P05129"
103605;"C3SLN2"
11149;"O75116"
104879;"P63319"
101177;"P42227"
104172;"Q8K4F5"
101419;"O88942"
103753;"Q9Y570"
100968;"Q62226"
103784;"Q9H1D0"
104421;"Q9Y2K7"
100919;"Q09Q13"
106566;"C5IU80"
106075;"Q2FXQ0"
104751;"P10608"
105634;"Q4FZB7"
10515;"P27732"
104445;"P28065"
104716;"Q862F3"
116909;"P40963"
11521;"P35236"
131;"P35498"
100301;"P08754"
114915;"P40933"
104776;"P42866"
109563;"P62894"
105185;"Q95Z89"
105832;"P66096"
101234;"O00767"
105485;"P07583"
12608;"O15120"
105690;"P43351"
11396;"Q08493"
12886;"O60755"
109873;"Q9ER60"
10676;"P06760"
106205;"P02679"
12474;"P15823"
100186;"Q12884"
104766;"Q9H4B7"
116828;"Q8CHN6"
116833;"P25788"
102404;"P0DM80"
104894;"P17787"
101443;"P62157"
104826;"P34968"
105366;"Q9JIS7"
102748;"Q9Y263"
12793;"P28705"
11604;"Q9GJT2"
108346;"Q80YA3"
109974;"Q5VT66"
11594;"P31214"
18064;"Q5HMD9"
102953;"P08019"
103974;"P25376"
116743;"O00624"
103499;"P79394"
104555;"P70453"
106002;"E0VDF5"
104364;"Q62730"
103519;"Q8HZP2"
60;"P10912"
104762;"P29702"
100600;"P96830"
106131;"Q8CPY8"
116833;"O14818"
105770;"Q9H8P0"
104875;"Q13554"
10639;"Q04844"
12838;"P70606"
105588;"Q8ZDW5"
12952;"Q16790"
10617;"P00791"
108348;"Q3UUQ7"
100034;"Q94F81"
109928;"Q9YQ30"
108359;"P48769"
11152;"Q05932"
104973;"Q14643"
101486;"P9WPP1"
10907;"P53350"
11544;"P68871"
11593;"P24008"
12794;"Q92736"
12630;"P47713"
103640;"P01160"
106138;"P60880"
105736;"O95136"
104836;"P28647"
104144;"Q20MD5"
104796;"Q13956"
105944;"P9WH89"
104863;"O70536"
104815;"P48974"
108143;"Q09028"
106717;"Q5S747"
102741;"O15294"
104943;"P27986"
108282;"Q6NXK8"
104161;"P31401"
105830;"P0A7M6"
11913;"Q8BGY9"
11504;"O15229"
116751;"Q9Y5Y5"
102403;"Q9UBC3"
100833;"Q8TD08"
105830;"P0A7V0"
11173;"P11166"
109083;"O70174"
102808;"Q7JHP9"
105561;"Q9BV47"
109739;"Q16288"
101034;"Q16288"
105600;"Q08642"
11275;"P40925"
105506;"P04637"
109966;"Q6GPL3"
18007;"Q9LM02"
100079;"P07949"
109483;"Q9BXM7"
105040;"P14416"
11940;"P42356"
108006;"Q9BZ95"
105015;"Q01066"
104788;"P07477"
109786;"P24394"
100873;"Q9JLY8"
102913;"Q02765"
105831;"Q18CI5"
106001;"Q9HVC4"
106166;"Q13753"
100659;"P04233"
101147;"A0MJA4"
10118;"P52655"
11269;"Q13133"
109482;"P67827"
104984;"P14416"
108049;"Q9QXE2"
100586;"Q59750"
101077;"P10153"
109122;"Q2U7N3"
102879;"P9WI73"
104145;"P04303"
102910;"P21588"
10442;"P30418"
174;"Q92731"
105618;"Q8WZA1"
107654;"P45877"
17041;"P02753"
101156;"A5HZZ9"
102844;"Q9D379"
105760;"O75380"
106617;"P30635"
101485;"P63001"
11107;"P22411"
105512;"P00432"
102669;"Q9NZJ5"
109933;"P00762"
109757;"Q9Z1J7"
11119;"P14740"
12227;"Q03181"
105761;"P35913"
104539;"P35546"
103495;"P42859"
19636;"P89582"
116866;"P13533"
105760;"Q9Y375"
108277;"H9B8T9"
116898;"P68371"
12577;"Q09470"
103452;"O95382"
104785;"P31645"
108033;"Q9Y259"
104321;"A6XA80"
106198;"E0VHL8"
107617;"Q9Y6W6"
100984;"P07308"
109566;"Q9GZN0"
104848;"Q00961"
102828;"P56484"
104230;"Q6DHV7"
104799;"P35916"
102416;"P34980"
54;"P09884"
116897;"Q9BQE3"
102940;"Q80Z26"
11944;"Q9WTR4"
102766;"P08865"
109605;"Q5RJP0"
104715;"P22933"
104703;"P18507"
102901;"P26993"
105738;"P54753"
105412;"Q99028"
101252;"P43117"
104689;"P10064"
105732;"Q07806"
105761;"Q14123"
20115;"P59264"
12413;"P35969"
103454;"O60885"
12050;"Q9R0C9"
106587;"J7HAW4"
104088;"Q9HAW8"
11601;"P16469"
103709;"O14924"
104841;"P28566"
108134;"P05556"
104955;"P35968"
108022;"P24823"
105735;"Q59961"
104764;"P43166"
106143;"P16410"
105480;"Q20MD3"
12300;"Q5SWU9"
104632;"P51574"
105615;"Q16570"
321;"P26358"
20068;"P10443"
12553;"Q9I8A2"
105183;"Q4QBL1"
105770;"P18405"
100202;"P08004"
108261;"P51448"
103103;"Q9WUL0"
101197;"B0BL08"
102468;"P00808"
10213;"P00772"
10544;"P47900"
109534;"O45307"
109695;"Q14542"
11645;"O34483"
101313;"Q92993"
116887;"P51812"
105664;"P18894"
104117;"P27694"
10509;"O75419"
11287;"P03951"
11908;"O75914"
104461;"P49935"
10514;"P22002"
109537;"Q8VIJ5"
109746;"P49336"
105944;"P9WHC5"
10697;"P02768"
220;"P21918"
12412;"P16092"
103542;"P05198"
102733;"Q9GZQ6"
105126;"P34707"
101492;"P72197"
102705;"Q14722"
109619;"Q8IV63"
104681;"Q969S8"
10373;"P07288"
104987;"P10827"
104764;"Q9ULX7"
100591;"Q2KIM0"
12670;"P36888"
103580;"P9WNP5"
108304;"P19992"
107915;"P48549"
103772;"Q13951"
107905;"P25090"
101323;"O35949"
11492;"P23574"
248;"P24557"
101622;"P05162"
100914;"Q07002"
10184;"P21452"
126;"P35354"
12593;"P09238"
104724;"P23977"
101357;"Q96PD7"
104894;"Q15825"
100789;"Q96SB4"
100226;"Q9H7Z7"
12376;"P39086"
12209;"O43570"
20092;"P31639"
105067;"Q9UBU7"
10658;"Q60613"
104770;"P54710"
11452;"P55157"
104315;"Q9NRH2"
100793;"P15944"
105759;"P23975"
107619;"Q8TBE9"
105830;"P0A7W7"
10498;"P07711"
11569;"P29323"
104888;"P37088"
107983;"Q5U9J1"
100989;"Q13510"
104901;"Q63118"
109573;"P53669"
116875;"F1RW91"
109085;"Q7KT97"
11633;"P80147"
10045;"P07607"
10009;"O43613"
104934;"P00740"
100594;"Q13822"
104224;"Q834R3"
116920;"P43627"
102850;"P20918"
104750;"P08238"
104812;"P42356"
105554;"P93841"
109721;"P06709"
116890;"Q8TE23"
101581;"P04015"
19648;"P30349"
101570;"P02866"
13053;"P37059"
104825;"P42261"
105375;"P00564"
101315;"Q95P20"
104732;"P54748"
101523;"P00970"
105623;"Q9Y5Z6"
109639;"P31939"
107892;"P07384"
10353;"Q5R387"
106197;"P35998"
103493;"P36941"
104759;"Q9UBE0"
109086;"Q5F2K1"
11716;"P23298"
103514;"Q16828"
104288;"P32297"
12158;"P17289"
105831;"Q182S6"
102663;"O75417"
106178;"P0AEK4"
109941;"Q8MI13"
100131;"Q8BK63"
109719;"E2QF15"
11653;"Q9Y251"
104796;"P51160"
104809;"Q4QQW4"
106608;"P06988"
101338;"P21127"
10304;"P18901"
103876;"A5Z252"
100207;"Q02563"
17000;"Q9Y0I0"
107903;"P68400"
100886;"P03375"
105090;"P25962"
104684;"P19020"
108362;"Q9NVS9"
106082;"Q9A1W4"
102726;"Q99836"
101440;"P61088"
11771;"P70712"
106001;"Q9HWF0"
106167;"Q01955"
103895;"P56470"
102914;"Q924T8"
10803;"P15208"
114811;"Q9NP84"
10432;"P04075"
104745;"Q9NPC1"
105533;"Q7YWJ9"
104301;"P20236"
12506;"Q9WUI1"
