"tid";"molregno";"disease_efficacy"
102;524710;1
11140;377715;1
11140;675125;1
11140;399873;1
11140;675694;1
51;674350;1
51;1510461;1
51;674889;1
51;155006;1
51;1038357;1
180;72873;1
16;675528;1
16;675454;1
16;675574;1
16;675608;1
16;675515;1
35;675595;1
16;675473;1
16;675462;1
16;674595;1
28;82983;1
28;674324;1
28;598447;1
28;368538;1
234;675627;1
234;675637;1
198;675577;1
78;675607;1
78;675540;1
154;675393;1
154;675376;1
154;1376054;1
154;675424;1
157;93895;1
157;96107;1
39;674813;1
165;5638;1
165;674515;1
165;630439;1
165;546564;1
166;675464;1
166;705811;1
73;328158;1
73;13474;1
12670;674436;1
12670;450864;1
60;675381;1
60;675591;1
60;675474;1
64;125294;1
64;430124;1
64;674617;1
64;674573;1
64;63252;1
64;1926758;1
64;674761;1
65;453121;1
65;337366;1
65;374548;1
65;674325;1
65;6317;1
11480;674773;1
11480;674563;1
11480;341382;1
35;675534;1
35;675609;1
35;675451;1
35;675618;1
35;675526;1
35;675547;1
35;675510;1
35;675534;1
35;675503;1
35;675565;1
35;675542;1
35;675535;1
35;675594;1
35;675436;1
35;675505;1
35;675446;1
35;675541;1
35;675366;1
35;675589;1
35;675615;1
35;675383;1
35;675478;1
35;675543;1
35;675610;1
35;675536;1
35;675386;1
35;675560;1
35;675373;1
35;675441;1
35;675445;1
35;1376661;1
139;35271;1
139;1359040;1
105;674468;1
105;1355856;1
105;674954;1
105;674552;1
105;196215;1
105;674472;1
105;674322;1
105;674983;1
105;675101;1
105;27111;1
107;59519;1
107;80209;1
107;550303;1
107;2261;1
107;674587;1
107;6216;1
107;674749;1
107;1535336;1
107;152751;1
107;155006;1
107;1926823;1
107;675011;1
107;675106;1
107;1038355;1
107;675003;1
107;27610;1
107;674370;1
107;674443;1
107;34197;1
107;675692;1
107;468656;1
107;675683;1
107;674420;1
107;674862;1
107;364141;1
107;7714;1
107;3859;1
107;674937;1
107;1369652;1
107;13949;1
107;5970;1
107;674867;1
107;209829;1
107;674853;1
107;549698;1
107;674899;1
107;550155;1
107;674948;1
108;59519;1
108;1369607;1
108;674377;1
108;674889;1
108;27610;1
108;674443;1
108;34197;1
108;675692;1
108;674862;1
108;7714;1
108;5970;1
108;674867;1
108;674749;1
108;549698;1
108;674899;1
108;550155;1
108;674948;1
108;1535336;1
108;80209;1
108;674587;1
108;675106;1
108;675011;1
109;674282;1
146;675501;1
146;40542;1
146;675470;1
11225;1926908;1
140;1285394;1
140;132003;1
140;674750;1
140;674847;1
140;674914;1
140;699456;1
174;674672;1
174;674712;1
174;158276;1
244;675413;1
245;675008;1
322;418401;1
322;675080;1
321;418401;1
321;675080;1
48;626453;1
48;674493;1
48;674961;1
48;328201;1
48;674543;1
48;421032;1
48;365248;1
48;405365;1
143;699470;1
143;7494;1
143;94408;1
252;162546;1
207;675434;1
207;675363;1
175;86042;1
31000;252155;1
23;675788;1
23;675554;1
105764;244450;1
19909;23522;1
19910;33809;1
325;430546;1
325;675007;1
10434;62111;1
10434;33576;1
155;317124;1
155;675143;1
155;674328;1
155;543;1
155;8838;1
155;675686;1
155;545956;1
155;78902;1
155;674338;1
155;23199;1
155;674733;1
155;1926820;1
155;674943;1
155;543703;1
155;675129;1
155;552883;1
155;49842;1
155;1239094;1
155;674434;1
129;699406;1
129;674562;1
129;548913;1
129;699416;1
129;674482;1
129;674550;1
129;674616;1
129;675110;1
129;30072;1
129;674841;1
129;1376014;1
129;699436;1
129;435293;1
129;547402;1
129;674776;1
129;699455;1
129;1355852;1
129;1355857;1
129;675071;1
129;675721;1
129;675114;1
129;19915;1
129;674768;1
129;1543312;1
129;674998;1
129;518361;1
129;674494;1
129;675728;1
129;76963;1
129;446784;1
129;1355867;1
91;267825;1
91;92412;1
93;353902;1
93;508667;1
93;674884;1
93;54149;1
93;443255;1
93;119717;1
93;167875;1
93;674318;1
93;674465;1
93;674492;1
93;39624;1
99;675667;1
99;675507;1
99;675667;1
10980;1376138;1
11261;1592399;1
327;43740;1
158;675506;1
158;1383724;1
32;6317;1
32;504310;1
25;27229;1
25;674796;1
25;675124;1
25;675700;1
25;27152;1
25;374052;1
25;419622;1
25;439720;1
25;641189;1
25;674446;1
25;674551;1
25;674586;1
25;674713;1
25;674816;1
25;674860;1
25;27370;1
25;421058;1
25;674293;1
25;674335;1
25;674489;1
25;674588;1
25;675032;1
25;675060;1
25;674337;1
25;674451;1
25;674496;1
25;674828;1
25;674859;1
25;674919;1
25;675015;1
25;27575;1
25;381691;1
25;419542;1
25;508532;1
25;591037;1
25;674327;1
25;674400;1
25;674513;1
25;674683;1
25;674940;1
25;674965;1
25;150313;1
25;187696;1
25;487777;1
25;515027;1
25;674725;1
25;674829;1
25;674926;1
25;675099;1
25;1347273;1
25;105252;1
25;182546;1
25;313314;1
25;365281;1
25;419410;1
25;487711;1
25;674568;1
25;674795;1
25;674904;1
25;674963;1
25;401141;1
25;712273;1
228;65494;1
228;85233;1
228;390877;1
228;417163;1
228;74911;1
228;374719;1
228;27307;1
228;674570;1
228;4345;1
228;107119;1
228;1051355;1
228;113138;1
228;33986;1
104;675093;1
104;674855;1
104;96021;1
196;675480;1
10140;675684;1
10705;448986;1
11180;442013;1
11180;404691;1
116;392195;1
21;674291;1
21;373806;1
22;549674;1
6;675697;1
6;1737244;1
6;674324;1
