"Protein Class Name","Protein Class Short Name","Percentage of Measurements","Number of Measurements"
"Tyrosine protein kinase VEGFR family","Vegfr",1.234657198655274,3926
"Tyrosine protein kinase EGFR family","Egfr",1.1368532280027548,3615
"AGC protein kinase AKT family","Akt",0.6959491545145495,2213
"TKL protein kinase RAF family","Raf",0.6078941327052074,1933
"Other protein kinase AUR family","Aur",0.44247648459194366,1407
"Tyrosine protein kinase InsR family","InsR",0.40065034923250614,1274
"Tyrosine protein kinase PDGFR family","Pdgfr",0.3534780161203587,1124
"Tyrosine protein kinase Abl family","Abl",0.35316353389961097,1123
"Tyrosine protein kinase Src family","Src",0.28177606978989445,896
"CAMK protein kinase CHK1 subfamily","Chk1",0.2748574609334461,874
"Tyrosine protein kinase FGFR family","Fgfr",0.2717126387259696,864
"CAMK protein kinase PIM family","Pim",0.25441611658484886,809
"AGC protein kinase PDK1 subfamily","Pdk1",0.21416239232914966,681
"Tyrosine protein kinase Tec family","Tec",0.2078727479141967,661
"Other protein kinase group","Other",0.18271417025438466,581
"Tyrosine protein kinase Tie family","Tie",0.09560259510728561,304
"CAMK protein kinase RSKb subfamily","Rskb",0.07012953522672595,223
"STE protein kinase PAKA subfamily","Paka",0.06383989081177295,203
"CK1 protein kinase CK1 family","Ck1",0.046857850891399856,149
"Tyrosine protein kinase Eph family","Eph",0.043713028683923356,139
"CAMK protein kinase RAD53 family","Rad53",0.028617882088036152,91
"TKL protein kinase STKR1","Stkr1",0.020441344348597252,65
"CAMK protein kinase AMPK subfamily","Ampk",0.017925486582616054,57
"Atypical protein kinase PIKK family","Pikk",0.016353075478877804,52
"STE protein kinase STE7 family","Ste7",0.0113213599469154,36
"TKL protein kinase STKR Type 2 subfamily","Type2",0.00911998440168185,29
"TKL protein kinase TESK subfamily","Tesk",0.008805502180934201,28
"TKL protein kinase LZK subfamily","Lzk",0.0056606799734577,18
"AGC protein kinase SGK family","Sgk",0.005346197752710051,17
"CAMK protein kinase QIK subfamily","Qik",0.004402751090467101,14
"STE protein kinase STE11 family","Ste11",0.0037737866489718002,12
"STE protein kinase ASK","Ask",0.0012579288829906,4
