"go_pref_name","target_pref_name","No_Bioactivities","No_Drug_Efficacy_Target_Annotations"
"anatomical structure development","Epidermal growth factor receptor erbB1",164,0
"cell adhesion","Epidermal growth factor receptor erbB1",164,0
"cell morphogenesis","Epidermal growth factor receptor erbB1",164,0
"cell motility","Epidermal growth factor receptor erbB1",164,0
"cell proliferation","Epidermal growth factor receptor erbB1",164,0
"cellular protein modification process","Epidermal growth factor receptor erbB1",164,0
"embryo development","Epidermal growth factor receptor erbB1",164,0
"lipid metabolic process","Epidermal growth factor receptor erbB1",164,0
"membrane organization","Epidermal growth factor receptor erbB1",164,0
"multicellular organismal development","Epidermal growth factor receptor erbB1",164,0
"neurological system process","Epidermal growth factor receptor erbB1",164,0
"phosphorylation","Epidermal growth factor receptor erbB1",164,0
"positive regulation of catalytic activity","Epidermal growth factor receptor erbB1",164,0
"regulation of catalytic activity","Epidermal growth factor receptor erbB1",164,0
"regulation of protein localization","Epidermal growth factor receptor erbB1",164,0
"reproduction","Epidermal growth factor receptor erbB1",164,0
"response to stress","Epidermal growth factor receptor erbB1",164,0
"signal transduction","Epidermal growth factor receptor erbB1",164,0
"anatomical structure development","Fibroblast growth factor receptor 1",15,0
"anatomical structure formation involved in morphogenesis","Fibroblast growth factor receptor 1",15,0
"biosynthetic process","Fibroblast growth factor receptor 1",15,0
"cell differentiation","Fibroblast growth factor receptor 1",15,0
"cell division","Fibroblast growth factor receptor 1",15,0
"cell motility","Fibroblast growth factor receptor 1",15,0
"cell proliferation","Fibroblast growth factor receptor 1",15,0
"cell-cell signaling","Fibroblast growth factor receptor 1",15,0
"cellular nitrogen compound metabolic process","Fibroblast growth factor receptor 1",15,0
"cellular protein modification process","Fibroblast growth factor receptor 1",15,0
"developmental maturation","Fibroblast growth factor receptor 1",15,0
"embryo development","Fibroblast growth factor receptor 1",15,0
"lipid metabolic process","Fibroblast growth factor receptor 1",15,0
"multicellular organismal development","Fibroblast growth factor receptor 1",15,0
"neurological system process","Fibroblast growth factor receptor 1",15,0
"phosphorylation","Fibroblast growth factor receptor 1",15,0
"positive regulation of catalytic activity","Fibroblast growth factor receptor 1",15,0
