"go_pref_name","target_pref_name","No_Bioactivities","No_Drug_Efficacy_Target_Annotations"
"anatomical structure formation involved in morphogenesis","Cyclin-dependent kinase 5",2,0
"catabolic process","Cyclin-dependent kinase 5",2,0
"cell adhesion","Cyclin-dependent kinase 5",2,0
"cell cycle","Cyclin-dependent kinase 5",2,0
"cell death","Cyclin-dependent kinase 5",2,0
"cell differentiation","Cyclin-dependent kinase 5",2,0
"cell division","Cyclin-dependent kinase 5",2,0
"cell morphogenesis","Cyclin-dependent kinase 5",2,0
"cell motility","Cyclin-dependent kinase 5",2,0
"cell proliferation","Cyclin-dependent kinase 5",2,0
"cell-cell signaling","Cyclin-dependent kinase 5",2,0
"cellular component assembly","Cyclin-dependent kinase 5",2,0
"cellular protein modification process","Cyclin-dependent kinase 5",2,0
"cytoskeleton organization","Cyclin-dependent kinase 5",2,0
"growth","Cyclin-dependent kinase 5",2,0
"locomotion","Cyclin-dependent kinase 5",2,0
"membrane organization","Cyclin-dependent kinase 5",2,0
"multicellular organismal development","Cyclin-dependent kinase 5",2,0
"neurological system process","Cyclin-dependent kinase 5",2,0
"nucleocytoplasmic transport","Cyclin-dependent kinase 5",2,0
"phosphorylation","Cyclin-dependent kinase 5",2,0
"positive regulation of apoptotic process","Cyclin-dependent kinase 5",2,0
"positive regulation of catalytic activity","Cyclin-dependent kinase 5",2,0
"regulation of protein localization","Cyclin-dependent kinase 5",2,0
"response to stress","Cyclin-dependent kinase 5",2,0
"signal transduction","Cyclin-dependent kinase 5",2,0
"transport","Cyclin-dependent kinase 5",2,0
"vesicle-mediated transport","Cyclin-dependent kinase 5",2,0
"anatomical structure development","Fibroblast growth factor receptor 1",15,0
"anatomical structure formation involved in morphogenesis","Fibroblast growth factor receptor 1",15,0
"biosynthetic process","Fibroblast growth factor receptor 1",15,0
"cell differentiation","Fibroblast growth factor receptor 1",15,0
"cell division","Fibroblast growth factor receptor 1",15,0
"cell motility","Fibroblast growth factor receptor 1",15,0
"cell proliferation","Fibroblast growth factor receptor 1",15,0
"cell-cell signaling","Fibroblast growth factor receptor 1",15,0
"cellular nitrogen compound metabolic process","Fibroblast growth factor receptor 1",15,0
"cellular protein modification process","Fibroblast growth factor receptor 1",15,0
"developmental maturation","Fibroblast growth factor receptor 1",15,0
"embryo development","Fibroblast growth factor receptor 1",15,0
"lipid metabolic process","Fibroblast growth factor receptor 1",15,0
"multicellular organismal development","Fibroblast growth factor receptor 1",15,0
"neurological system process","Fibroblast growth factor receptor 1",15,0
"phosphorylation","Fibroblast growth factor receptor 1",15,0
"positive regulation of catalytic activity","Fibroblast growth factor receptor 1",15,0
"signal transduction","Fibroblast growth factor receptor 1",15,0
"carbohydrate metabolic process","Glycogen synthase kinase-3 alpha",4,0
"catabolic process","Glycogen synthase kinase-3 alpha",4,0
"cell death","Glycogen synthase kinase-3 alpha",4,0
"cell-cell signaling","Glycogen synthase kinase-3 alpha",4,0
"cellular protein modification process","Glycogen synthase kinase-3 alpha",4,0
"circulatory system process","Glycogen synthase kinase-3 alpha",4,0
"generation of precursor metabolites and energy","Glycogen synthase kinase-3 alpha",4,0
"membrane organization","Glycogen synthase kinase-3 alpha",4,0
"mitochondrion organization","Glycogen synthase kinase-3 alpha",4,0
"multicellular organismal development","Glycogen synthase kinase-3 alpha",4,0
"phosphorylation","Glycogen synthase kinase-3 alpha",4,0
"positive regulation of apoptotic process","Glycogen synthase kinase-3 alpha",4,0
"positive regulation of catalytic activity","Glycogen synthase kinase-3 alpha",4,0
"proteolysis","Glycogen synthase kinase-3 alpha",4,0
"regulation of catalytic activity","Glycogen synthase kinase-3 alpha",4,0
"regulation of protein localization","Glycogen synthase kinase-3 alpha",4,0
"response to stress","Glycogen synthase kinase-3 alpha",4,0
"signal transduction","Glycogen synthase kinase-3 alpha",4,0
"transport","Glycogen synthase kinase-3 alpha",4,0
"aging","Glycogen synthase kinase-3 beta",1,0
"anatomical structure development","Glycogen synthase kinase-3 beta",1,0
"anatomical structure formation involved in morphogenesis","Glycogen synthase kinase-3 beta",1,0
"carbohydrate metabolic process","Glycogen synthase kinase-3 beta",1,0
"catabolic process","Glycogen synthase kinase-3 beta",1,0
"cell cycle","Glycogen synthase kinase-3 beta",1,0
"cell death","Glycogen synthase kinase-3 beta",1,0
"cell differentiation","Glycogen synthase kinase-3 beta",1,0
"cell morphogenesis","Glycogen synthase kinase-3 beta",1,0
"cell motility","Glycogen synthase kinase-3 beta",1,0
"cell-cell signaling","Glycogen synthase kinase-3 beta",1,0
"cellular nitrogen compound metabolic process","Glycogen synthase kinase-3 beta",1,0
"cellular protein modification process","Glycogen synthase kinase-3 beta",1,0
"generation of precursor metabolites and energy","Glycogen synthase kinase-3 beta",1,0
"membrane organization","Glycogen synthase kinase-3 beta",1,0
"mitochondrion organization","Glycogen synthase kinase-3 beta",1,0
"multicellular organismal development","Glycogen synthase kinase-3 beta",1,0
"nucleocytoplasmic transport","Glycogen synthase kinase-3 beta",1,0
"phosphorylation","Glycogen synthase kinase-3 beta",1,0
"positive regulation of apoptotic process","Glycogen synthase kinase-3 beta",1,0
"positive regulation of catalytic activity","Glycogen synthase kinase-3 beta",1,0
"protein complex assembly","Glycogen synthase kinase-3 beta",1,0
"proteolysis","Glycogen synthase kinase-3 beta",1,0
"regulation of catalytic activity","Glycogen synthase kinase-3 beta",1,0
"regulation of protein localization","Glycogen synthase kinase-3 beta",1,0
"response to stress","Glycogen synthase kinase-3 beta",1,0
"signal transduction","Glycogen synthase kinase-3 beta",1,0
"transport","Glycogen synthase kinase-3 beta",1,0
"anatomical structure development","MAP kinase ERK1",2,0
"anatomical structure formation involved in morphogenesis","MAP kinase ERK1",2,0
"biosynthetic process","MAP kinase ERK1",2,0
"cell cycle","MAP kinase ERK1",2,0
"cell death","MAP kinase ERK1",2,0
"cell differentiation","MAP kinase ERK1",2,0
"cell morphogenesis","MAP kinase ERK1",2,0
"cellular nitrogen compound metabolic process","MAP kinase ERK1",2,0
"cellular protein modification process","MAP kinase ERK1",2,0
"embryo development","MAP kinase ERK1",2,0
"immune system process","MAP kinase ERK1",2,0
"lipid metabolic process","MAP kinase ERK1",2,0
"locomotion","MAP kinase ERK1",2,0
"multicellular organismal development","MAP kinase ERK1",2,0
"neurological system process","MAP kinase ERK1",2,0
"nucleocytoplasmic transport","MAP kinase ERK1",2,0
"phosphorylation","MAP kinase ERK1",2,0
"positive regulation of catalytic activity","MAP kinase ERK1",2,0
"protein complex assembly","MAP kinase ERK1",2,0
"protein targeting","MAP kinase ERK1",2,0
"response to stress","MAP kinase ERK1",2,0
"response to toxic substance","MAP kinase ERK1",2,0
"signal transduction","MAP kinase ERK1",2,0
"small molecule metabolic process","MAP kinase ERK1",2,0
"symbiosis, encompassing mutualism through parasitism","MAP kinase ERK1",2,0
"vesicle-mediated transport","MAP kinase ERK1",2,0
"aging","MAP kinase p38 alpha",2,0
"anatomical structure development","MAP kinase p38 alpha",2,0
"anatomical structure formation involved in morphogenesis","MAP kinase p38 alpha",2,0
"biosynthetic process","MAP kinase p38 alpha",2,0
"carbohydrate metabolic process","MAP kinase p38 alpha",2,0
"cell cycle","MAP kinase p38 alpha",2,0
"cell death","MAP kinase p38 alpha",2,0
