"go_pref_name","target_pref_name","No_Bioactivities","No_Drug_Efficacy_Target_Annotations"
"aging","Dual specificity mitogen-activated protein kinase kinase 1",11,0
"anatomical structure development","Dual specificity mitogen-activated protein kinase kinase 1",11,0
"anatomical structure formation involved in morphogenesis","Dual specificity mitogen-activated protein kinase kinase 1",11,0
"autophagy","Dual specificity mitogen-activated protein kinase kinase 1",11,0
"catabolic process","Dual specificity mitogen-activated protein kinase kinase 1",11,0
"cell cycle","Dual specificity mitogen-activated protein kinase kinase 1",11,0
"cell differentiation","Dual specificity mitogen-activated protein kinase kinase 1",11,0
"cell motility","Dual specificity mitogen-activated protein kinase kinase 1",11,0
"cell proliferation","Dual specificity mitogen-activated protein kinase kinase 1",11,0
"cellular protein modification process","Dual specificity mitogen-activated protein kinase kinase 1",11,0
"embryo development","Dual specificity mitogen-activated protein kinase kinase 1",11,0
"immune system process","Dual specificity mitogen-activated protein kinase kinase 1",11,0
"locomotion","Dual specificity mitogen-activated protein kinase kinase 1",11,0
"mitochondrion organization","Dual specificity mitogen-activated protein kinase kinase 1",11,0
"multicellular organismal development","Dual specificity mitogen-activated protein kinase kinase 1",11,0
"phosphorylation","Dual specificity mitogen-activated protein kinase kinase 1",11,0
"positive regulation of catalytic activity","Dual specificity mitogen-activated protein kinase kinase 1",11,0
"proteolysis","Dual specificity mitogen-activated protein kinase kinase 1",11,0
"reproduction","Dual specificity mitogen-activated protein kinase kinase 1",11,0
"response to stress","Dual specificity mitogen-activated protein kinase kinase 1",11,0
"signal transduction","Dual specificity mitogen-activated protein kinase kinase 1",11,0
"anatomical structure development","Fibroblast growth factor receptor 1",15,0
"anatomical structure formation involved in morphogenesis","Fibroblast growth factor receptor 1",15,0
"biosynthetic process","Fibroblast growth factor receptor 1",15,0
"cell differentiation","Fibroblast growth factor receptor 1",15,0
"cell division","Fibroblast growth factor receptor 1",15,0
"cell motility","Fibroblast growth factor receptor 1",15,0
"cell proliferation","Fibroblast growth factor receptor 1",15,0
"cell-cell signaling","Fibroblast growth factor receptor 1",15,0
"cellular nitrogen compound metabolic process","Fibroblast growth factor receptor 1",15,0
"cellular protein modification process","Fibroblast growth factor receptor 1",15,0
"developmental maturation","Fibroblast growth factor receptor 1",15,0
"embryo development","Fibroblast growth factor receptor 1",15,0
"lipid metabolic process","Fibroblast growth factor receptor 1",15,0
"multicellular organismal development","Fibroblast growth factor receptor 1",15,0
"neurological system process","Fibroblast growth factor receptor 1",15,0
"phosphorylation","Fibroblast growth factor receptor 1",15,0
"positive regulation of catalytic activity","Fibroblast growth factor receptor 1",15,0
"signal transduction","Fibroblast growth factor receptor 1",15,0
"anatomical structure development","Insulin receptor",10,0
"carbohydrate metabolic process","Insulin receptor",10,0
"cell differentiation","Insulin receptor",10,0
"cellular protein modification process","Insulin receptor",10,0
"homeostatic process","Insulin receptor",10,0
"multicellular organismal development","Insulin receptor",10,0
"phosphorylation","Insulin receptor",10,0
"positive regulation of catalytic activity","Insulin receptor",10,0
"protein complex assembly","Insulin receptor",10,0
"reproduction","Insulin receptor",10,0
"signal transduction","Insulin receptor",10,0
"symbiosis, encompassing mutualism through parasitism","Insulin receptor",10,0
"cellular protein modification process","Insulin-like growth factor I receptor",3,0
"immune system process","Insulin-like growth factor I receptor",3,0
"phosphorylation","Insulin-like growth factor I receptor",3,0
"protein complex assembly","Insulin-like growth factor I receptor",3,0
"regulation of catalytic activity","Insulin-like growth factor I receptor",3,0
"signal transduction","Insulin-like growth factor I receptor",3,0
"aging","Nerve growth factor receptor Trk-A",3,0
"anatomical structure development","Nerve growth factor receptor Trk-A",3,0
"cell death","Nerve growth factor receptor Trk-A",3,0
"cell differentiation","Nerve growth factor receptor Trk-A",3,0
"cell morphogenesis","Nerve growth factor receptor Trk-A",3,0
"cellular protein modification process","Nerve growth factor receptor Trk-A",3,0
"immune system process","Nerve growth factor receptor Trk-A",3,0
"locomotion","Nerve growth factor receptor Trk-A",3,0
"microtubule-based process","Nerve growth factor receptor Trk-A",3,0
